participant gender,participant age,unattractive female4_1,attractive male 7_1,attractive female1 _1,unattractive male 5_1,unattractive female8_1,unattractive male 1 _1,attractive female2_1,unattractive female9_1,unattractive female2_1,attractive male 2_1,attractive male 9_1,attractive female 10_1,attractive male 8 _1,attractive female 5_1,unattractive male 10_1,unattractive male 8_1,attractive female 7_1,unattractive female 10_1,unattractive female3_1,unattractive male 9 _1,unattractive male 4_1,attractive male 4_1,attractive female 3_1,unattractive female7_1,unattractive male 3_1,attractive female 4_1,attractive male 6_1,unattractive male 6 _1,unattractive female5_1,attractive male 10 _1,attractive male 1_1,attractive female 8_1,unattractive female1_1,unattractive male _1,unattractive male 3_1,unattractive male 7 _1,attractive male 5_1,unattractive female6_1,attractive female 6_1,attractive female 9_1,Scenario 1_1,Scenario 2_1,scenario 3_1,Scenario 4_1,Scenario 5_1,scenario 6_1,attractive F10+M_1,attractive F10+M_2,attractive F10+M_3,attractive F10+M_4,attractive F10+M_5,attractive F10+M_6,attractive F7+M_1,attractive F7+M_2,attractive F7+M_3,attractive F7+M_4,attractive F7+M_5,attractive F7+M_6,attractive male 10+M_1,attractive male 10+M_2,attractive male 10+M_3,attractive male 10+M_4,attractive male 10+M_5,attractive male 10+M_6,unattractive male 6+M_1,unattractive male 6+M_2,unattractive male 6+M_3,unattractive male 6+M_4,unattractive male 6+M_5,unattractive male 6+M_6,unattractive male 9+M_1,unattractive male 9+M_2,unattractive male 9+M_3,unattractive male 9+M_4,unattractive male 9+M_5,unattractive male 9+M_6,attractive F2+M_1,attractive F2+M_2,attractive F2+M_3,attractive F2+M_4,attractive F2+M_5,attractive F2+M_6,attractive male 9+M_1,attractive male 9+M_2,attractive male 9+M_3,attractive male 9+M_4,attractive male 9+M_5,attractive male 9+M_6,unattractive F6+M_1,unattractive F6+M_2,unattractive F6+M_3,unattractive F6+M_4,unattractive F6+M_5,unattractive F6+M_6,attractive F6+M_1,attractive F6+M_2,attractive F6+M_3,attractive F6+M_4,attractive F6+M_5,attractive F6+M_6,attractive F3+M_1,attractive F3+M_2,attractive F3+M_3,attractive F3+M_4,attractive F3+M_5,attractive F3+M_6,attractive male 6+M_1,attractive male 6+M_2,attractive male 6+M_3,attractive male 6+M_4,attractive male 6+M_5,attractive male 6+M_6,unattractive male 7+M_1,unattractive male 7+M_2,unattractive male 7+M_3,unattractive male 7+M_4,unattractive male 7+M_5,unattractive male 7+M_6,unattractive F9+M_1,unattractive F9+M_2,unattractive F9+M_3,unattractive F9+M_4,unattractive F9+M_5,unattractive F9+M_6,attractive male 4+M_1,attractive male 4+M_2,attractive male 4+M_3,attractive male 4+M_4,attractive male 4+M_5,attractive male 4+M_6,unattractive male 5+M_1,unattractive male 5+M_2,unattractive male 5+M_3,unattractive male 5+M_4,unattractive male 5+M_5,unattractive male 5+M_6,unattractive male 10+M_1,unattractive male 10+M_2,unattractive male 10+M_3,unattractive male 10+M_4,unattractive male 10+M_5,unattractive male 10+M_6,unattractive male 2+M_1,unattractive male 2+M_2,unattractive male 2+M_3,unattractive male 2+M_4,unattractive male 2+M_5,unattractive male 2+M_6,unattractive F5+M_1,unattractive F5+M_2,unattractive F5+M_3,unattractive F5+M_4,unattractive F5+M_5,unattractive F5+M_6,attractive F4+M_1,attractive F4+M_2,attractive F4+M_3,attractive F4+M_4,attractive F4+M_5,attractive F4+M_6,unattractive F10+M_1,unattractive F10+M_2,unattractive F10+M_3,unattractive F10+M_4,unattractive F10+M_5,unattractive F10+M_6,unattractive F1+M_1,unattractive F1+M_2,unattractive F1+M_3,unattractive F1+M_4,unattractive F1+M_5,unattractive F1+M_6,attractive male 8+M_1,attractive male 8+M_2,attractive male 8+M_3,attractive male 8+M_4,attractive male 8+M_5,attractive male 8+M_6,attractive male 5+M_1,attractive male 5+M_2,attractive male 5+M_3,attractive male 5+M_4,attractive male 5+M_5,attractive male 5+M_6,unattractive F3+M_1,unattractive F3+M_2,unattractive F3+M_3,unattractive F3+M_4,unattractive F3+M_5,unattractive F3+M_6,unattractive male 3+M_1,unattractive male 3+M_2,unattractive male 3+M_3,unattractive male 3+M_4,unattractive male 3+M_5,unattractive male 3+M_6,attractive F9+M_1,attractive F9+M_2,attractive F9+M_3,attractive F9+M_4,attractive F9+M_5,attractive F9+M_6,attractive male 3+M_1,attractive male 3+M_2,attractive male 3+M_3,attractive male 3+M_4,attractive male 3+M_5,attractive male 3+M_6,unattractive F2+M_1,unattractive F2+M_2,unattractive F2+M_3,unattractive F2+M_4,unattractive F2+M_5,unattractive F2+M_6,unattractive male 1+M_1,unattractive male 1+M_2,unattractive male 1+M_3,unattractive male 1+M_4,unattractive male 1+M_5,unattractive male 1+M_6,unattractive male 4+M_1,unattractive male 4+M_2,unattractive male 4+M_3,unattractive male 4+M_4,unattractive male 4+M_5,unattractive male 4+M_6,attractive male 2+M_1,attractive male 2+M_2,attractive male 2+M_3,attractive male 2+M_4,attractive male 2+M_5,attractive male 2+M_6,attractive male 7+M_1,attractive male 7+M_2,attractive male 7+M_3,attractive male 7+M_4,attractive male 7+M_5,attractive male 7+M_6,unattractive F4+M_1,unattractive F4+M_2,unattractive F4+M_3,unattractive F4+M_4,unattractive F4+M_5,unattractive F4+M_6,unattractive F8+M_1,unattractive F8+M_2,unattractive F8+M_3,unattractive F8+M_4,unattractive F8+M_5,unattractive F8+M_6,attractive F1+M_1,attractive F1+M_2,attractive F1+M_3,attractive F1+M_4,attractive F1+M_5,attractive F1+M_6,attractive F5+M_1,attractive F5+M_2,attractive F5+M_3,attractive F5+M_4,attractive F5+M_5,attractive F5+M_6,attractive F8+M_1,attractive F8+M_2,attractive F8+M_3,attractive F8+M_4,attractive F8+M_5,attractive F8+M_6,attractive male 1+M_1,attractive male 1+M_2,attractive male 1+M_3,attractive male 1+M_4,attractive male 1+M_5,attractive male 1+M_6,unattractive male 8+M_1,unattractive male 8+M_2,unattractive male 8+M_3,unattractive male 8+M_4,unattractive male 8+M_5,unattractive male 8+M_6,unattractive F7+M_1,unattractive F7+M_2,unattractive F7+M_3,unattractive F7+M_4,unattractive F7+M_5,unattractive F7+M_6,morality judgment_SC0
female,21,2,1,3,1,2,1,3,1,1,2,2,3,1,4,1,1,5,1,2,1,1,3,3,1,2,3,3,1,1,2,3,3,1,1,1,1,4,1,4,3,1,1,1,1,1,3,3,3,2,4,1,1,1,2,1,2,1,1,2,2,2,2,1,3,2,2,2,2,1,3,4,3,4,3,3,3,2,2,1,3,1,1,4,4,4,4,3,4,1,2,2,2,1,1,1,2,1,4,1,1,4,4,3,4,2,1,2,2,2,3,1,2,5,4,4,4,4,4,1,3,2,1,1,1,2,2,2,4,1,3,4,4,4,3,4,4,5,4,4,4,4,4,5,4,5,5,4,4,1,2,1,3,1,1,5,5,2,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,5,5,4,4,4,3,3,4,4,1,4,4,4,2,3,4,1,1,1,1,1,1,4,1,2,1,3,1,1,2,2,2,2,1,2,1,2,1,1,1,1,4,4,4,4,2,4,1,2,1,2,1,2,3,3,4,4,2,3,4,3,3,3,3,4,5,5,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,2,2,1,4,1,1,4,4,4,4,2,3,1,1,1,1,1,4,4,4,2,2,1,1,578
Male,21,2,3,3,2,1,2,3,1,1,3,2,4,2,4,1,1,4,2,1,2,1,4,4,3,3,3,3,1,1,1,4,3,1,1,1,2,3,1,1,2,1,2,1,2,4,4,2,2,1,4,1,1,2,3,1,3,2,1,4,3,2,2,3,2,4,4,3,2,3,4,4,4,4,3,4,4,1,3,1,4,1,1,4,4,4,4,4,4,1,4,1,4,4,1,2,3,1,2,2,1,1,2,2,2,2,2,3,3,2,3,3,2,4,4,4,2,4,4,1,4,2,2,4,4,2,2,2,3,2,2,4,4,2,3,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,1,3,2,2,4,4,2,4,4,1,2,3,2,2,2,2,4,4,2,2,2,2,4,4,2,3,4,2,2,4,2,2,2,4,2,2,2,2,2,2,2,3,2,3,2,2,4,4,4,2,3,3,4,3,4,2,4,4,2,3,2,2,2,3,3,2,2,2,2,3,4,4,4,4,4,4,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,2,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,4,4,4,2,4,1,1,1,2,2,2,605
Male,21,2,3,3,2,2,1,3,1,1,4,3,4,4,3,1,2,5,1,1,3,2,3,3,1,2,3,4,1,1,2,2,2,1,2,2,1,4,2,4,3,3,4,5,4,5,1,2,4,1,4,1,1,1,2,1,2,1,1,4,4,4,2,3,4,2,4,4,2,4,4,3,3,4,4,2,4,4,2,3,2,4,3,5,3,4,4,4,4,4,4,4,4,3,4,2,2,1,1,1,1,5,4,2,5,3,2,2,2,2,2,1,1,1,2,4,2,4,4,4,4,4,1,4,3,3,3,4,4,2,2,4,4,4,2,4,2,4,4,5,1,4,5,2,4,4,4,3,4,4,4,3,3,4,4,4,3,1,4,3,1,1,3,3,2,3,2,4,5,4,2,4,4,4,3,2,3,2,2,4,2,4,4,1,4,2,4,4,3,4,5,1,2,4,2,2,2,3,3,3,3,3,3,4,4,4,3,3,3,3,4,4,4,4,3,4,4,4,4,4,4,3,2,2,2,1,1,4,2,4,4,2,2,2,3,4,4,3,3,4,4,4,4,4,4,3,3,2,2,1,2,4,1,1,2,1,1,3,1,2,2,2,1,4,1,1,1,1,1,3,3,3,2,3,3,2,3,3,2,2,4,5,4,4,4,4,4,708
Female,21,2,4,4,3,1,1,3,2,1,4,5,5,4,5,2,2,5,2,1,3,3,4,4,1,3,4,4,1,2,4,5,4,1,2,1,2,5,2,4,3,5,4,5,4,5,3,1,2,1,4,1,2,1,2,1,4,1,2,2,3,2,4,3,4,4,4,4,2,2,4,4,4,4,4,4,5,1,1,1,3,1,1,2,2,2,4,2,2,2,4,2,2,2,4,1,1,1,2,1,1,1,1,1,4,1,1,2,4,2,4,2,1,4,4,4,3,4,5,2,4,2,2,2,2,2,2,2,4,2,4,4,5,4,4,4,5,5,4,4,3,4,5,5,4,5,4,5,5,2,2,2,2,2,2,1,1,1,4,1,1,2,4,2,2,1,1,4,5,4,2,4,4,2,4,2,4,2,2,1,1,1,4,1,2,5,5,4,2,4,2,4,4,4,2,5,5,1,1,1,1,1,1,2,2,2,4,1,2,5,5,4,2,5,4,5,5,5,4,5,5,4,5,4,4,4,5,2,2,2,4,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2,4,3,2,4,4,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,3,1,1,4,4,2,5,4,2,4,5,4,2,4,5,5,5,5,2,5,4,674
Female ,21,3,5,4,2,2,1,4,1,1,4,4,5,4,4,1,1,3,2,1,2,2,4,5,2,3,4,4,1,3,3,5,4,1,1,2,1,5,3,4,3,5,5,5,5,5,4,4,3,1,4,3,1,2,3,1,2,1,1,2,2,3,2,2,3,3,3,3,1,3,3,1,2,2,1,2,3,4,3,1,3,1,1,4,3,4,4,2,3,4,3,2,3,2,1,4,3,1,4,1,1,5,3,1,4,1,1,4,3,4,4,3,3,3,3,4,3,3,4,3,3,1,1,3,1,3,2,3,4,1,3,4,3,4,3,3,4,4,3,4,2,3,4,3,3,4,2,2,4,2,2,1,2,1,1,5,3,1,4,2,1,1,2,1,1,1,1,2,2,1,1,1,1,3,3,4,4,1,3,2,2,3,4,1,3,1,1,1,2,1,1,1,1,3,2,1,4,3,1,1,4,1,1,4,3,4,3,1,3,4,4,3,2,2,1,4,3,4,3,3,4,3,3,4,2,2,4,4,1,4,4,1,3,4,1,2,4,1,2,3,2,1,2,2,1,1,1,1,2,1,1,3,3,1,2,1,1,4,3,2,3,2,1,2,2,2,3,1,1,4,3,4,4,1,4,4,3,4,1,3,4,5,4,4,4,4,1,595
Female,21,1,4,3,3,3,1,2,2,1,2,1,4,2,4,1,1,3,2,1,2,1,4,3,1,3,3,3,1,2,3,5,2,1,2,1,1,4,2,3,3,3,4,5,5,5,3,4,4,4,5,3,3,5,4,4,5,3,3,2,3,4,4,5,4,1,1,4,3,3,4,5,5,5,4,5,5,5,4,4,4,3,3,2,3,4,3,5,5,2,4,3,4,4,4,2,2,3,4,1,1,4,4,5,5,4,2,1,2,3,4,3,3,1,4,4,1,4,4,3,3,1,1,3,4,4,4,4,5,5,4,1,1,3,4,3,2,5,5,5,1,5,5,5,4,5,2,4,4,4,4,4,2,5,3,1,1,1,4,1,1,1,1,4,4,1,1,1,4,4,1,4,5,2,4,4,3,4,4,4,4,4,4,4,3,1,4,4,4,4,4,4,4,5,1,4,5,4,3,4,3,4,3,5,5,5,2,5,5,1,4,1,3,2,3,5,5,5,2,5,5,5,5,5,1,5,5,4,4,5,4,4,3,1,1,5,1,5,1,2,4,4,3,5,5,4,2,4,4,4,4,2,2,4,4,3,3,1,1,1,5,1,1,4,4,4,2,4,2,1,1,1,4,4,1,5,5,5,1,4,4,4,4,4,2,4,5,811
female,21,3,5,3,2,3,1,4,2,1,5,4,5,4,5,2,1,3,1,1,2,2,4,5,2,4,4,4,1,3,3,5,4,1,2,2,1,4,3,3,4,5,5,5,5,5,5,2,1,1,4,1,1,2,1,2,4,1,1,3,3,3,3,1,3,4,3,4,1,2,4,1,1,3,1,1,3,2,1,1,4,1,1,2,2,3,3,1,3,4,2,1,2,2,1,1,1,1,4,1,1,4,1,1,4,1,1,4,3,4,4,2,4,1,4,4,2,2,4,4,3,1,1,2,1,1,1,3,4,1,3,4,4,4,2,2,4,3,3,4,2,2,4,2,1,3,3,2,4,2,1,1,3,1,1,4,4,1,4,2,1,2,1,1,1,1,1,4,3,2,1,1,1,4,2,4,4,1,4,2,1,3,4,1,3,2,1,1,2,1,1,1,1,3,2,1,4,2,1,1,4,1,1,3,2,3,3,2,3,4,4,4,2,2,1,2,1,4,2,2,4,1,2,4,2,2,4,4,1,3,4,1,4,3,2,2,4,1,2,3,3,1,2,2,1,2,1,1,2,1,1,4,2,1,3,2,1,4,2,1,4,1,1,2,1,1,4,1,1,4,3,4,4,1,4,2,2,4,1,1,4,5,4,4,2,3,1,548
Female,21,2,4,4,3,3,1,4,2,2,2,2,5,2,4,1,1,5,2,1,2,2,2,4,2,2,4,3,2,2,2,3,5,1,1,1,1,3,2,5,4,5,5,5,5,5,4,1,2,1,2,1,1,1,2,1,2,1,1,2,2,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,3,1,1,1,2,1,2,1,1,1,1,1,2,1,1,3,4,1,4,1,1,3,4,3,4,1,3,1,3,4,2,3,4,2,4,1,3,2,1,1,2,4,4,1,2,4,4,4,4,4,4,2,4,4,3,4,5,3,5,4,4,3,4,3,4,1,3,2,1,4,4,1,4,1,1,2,4,1,3,1,1,4,4,3,2,4,2,2,2,1,4,1,3,3,2,4,4,2,4,4,4,2,3,3,2,1,4,2,2,1,3,1,2,1,3,1,2,4,4,3,4,3,4,2,4,1,3,1,1,4,4,3,4,3,4,3,4,3,3,2,4,2,3,2,2,1,3,4,4,3,5,3,4,3,4,1,3,2,1,1,2,1,3,1,1,1,4,1,4,1,1,1,2,1,3,1,1,1,1,1,4,1,1,4,4,3,4,2,4,1,4,1,2,3,4,4,4,2,4,2,1,569
female,22,2,3,3,2,2,1,3,1,1,4,3,4,3,3,1,1,2,2,1,2,1,3,4,1,2,4,4,1,1,1,3,2,1,1,1,1,4,2,3,3,4,4,5,5,5,2,2,2,1,4,1,2,2,2,1,3,1,2,3,2,2,2,2,3,3,4,2,4,1,4,2,1,1,2,1,3,3,2,1,4,1,1,3,2,3,4,1,4,4,2,1,3,1,1,2,1,1,3,1,1,4,3,1,4,1,2,1,1,2,3,1,3,3,4,2,3,1,4,4,3,2,3,2,4,2,2,1,4,1,5,2,2,3,4,1,4,4,4,3,3,2,4,4,4,3,4,2,4,3,3,2,4,2,2,4,5,2,4,2,1,2,2,1,2,1,1,4,4,1,2,1,2,4,5,2,5,2,5,3,3,2,5,1,5,4,4,1,4,1,3,1,1,1,3,2,3,2,2,2,3,1,3,3,3,1,4,1,3,4,5,2,4,2,2,2,3,3,4,1,4,4,3,2,4,3,4,3,2,2,4,1,5,4,5,3,4,2,5,2,4,2,3,2,2,4,4,2,4,1,2,2,4,2,3,1,2,1,1,1,1,1,1,4,4,1,3,2,2,4,5,3,4,2,5,2,2,1,2,1,2,5,5,2,5,1,4,622
Female,22,2,4,3,3,4,2,2,3,3,4,3,5,5,5,3,2,3,2,3,2,2,4,4,2,3,3,5,3,2,3,4,3,2,2,2,2,4,2,4,5,4,5,5,4,5,3,2,3,1,2,3,1,2,1,2,3,3,2,1,1,2,2,2,2,2,2,2,1,2,3,1,2,2,1,2,3,4,3,2,3,2,2,3,3,3,3,3,3,4,3,3,3,3,3,1,1,1,1,1,1,4,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,2,3,4,3,4,3,3,4,4,4,4,4,3,4,4,3,3,2,3,3,2,2,2,2,1,1,4,3,3,3,2,3,2,2,2,2,2,2,1,1,1,1,1,1,2,2,3,2,2,3,3,3,2,3,2,3,3,4,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,2,1,1,1,1,3,2,1,2,2,2,2,2,1,2,3,1,3,1,2,2,2,1,3,2,2,2,2,2,3,2,3,2,2,2,1,2,3,4,4,3,2,4,3,535
Female ,22,2,3,3,3,2,1,3,1,1,1,2,4,3,5,3,1,4,2,1,1,1,5,5,1,2,5,3,1,1,2,4,2,1,1,1,1,3,1,3,3,5,5,5,5,5,5,3,3,3,4,1,1,3,4,1,4,1,1,4,4,2,4,1,4,4,4,3,2,2,4,4,4,3,4,2,4,2,3,2,4,1,1,4,4,3,5,2,4,1,3,1,1,1,1,1,1,1,1,1,1,4,4,2,4,1,1,4,3,3,4,2,4,4,4,3,4,1,4,1,2,1,2,1,1,2,2,2,2,1,1,3,2,2,2,1,3,4,3,3,1,1,2,4,4,3,4,2,4,1,2,1,2,1,1,4,4,2,4,1,1,2,2,2,2,1,1,1,1,1,1,1,1,4,4,3,4,2,4,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,4,4,4,2,3,4,4,4,4,4,2,4,4,4,4,4,3,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,4,4,3,3,1,4,4,4,4,1,1,4,1,1,1,1,1,1,542
Female,22,2,3,4,2,3,1,3,1,1,1,2,4,1,4,1,1,4,1,1,1,1,3,3,1,1,2,1,1,1,2,2,3,1,2,1,1,4,1,4,4,5,5,5,4,4,3,3,4,1,2,1,2,4,4,3,4,4,2,1,1,2,1,3,4,1,1,1,1,1,3,3,2,4,3,3,3,4,5,4,4,4,2,3,2,1,1,1,2,5,5,3,2,3,2,4,4,4,2,4,2,1,4,1,1,3,3,1,2,3,2,4,4,1,1,1,1,1,1,5,5,5,5,5,5,1,1,3,4,2,4,2,4,5,3,4,3,1,1,1,1,1,4,1,1,1,1,1,1,1,3,3,1,1,1,5,5,3,4,5,4,2,4,1,1,4,3,1,1,1,1,1,1,2,1,4,1,1,4,1,1,2,4,2,5,4,4,3,3,3,3,2,4,4,3,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,4,1,1,4,4,1,1,4,3,1,5,1,1,1,2,1,4,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,2,2,1,2,1,4,3,3,3,2,2,4,4,4,4,4,4,1,4,4,1,1,4,4,3,3,2,2,4,573
female,22,2,4,4,3,2,1,4,2,1,3,4,5,4,5,1,1,5,1,1,2,2,4,5,1,3,4,4,2,1,4,5,4,1,1,2,1,5,1,5,4,5,5,5,5,5,2,2,3,2,3,2,1,1,2,1,2,1,1,2,2,2,2,2,3,1,1,1,1,1,1,1,1,2,1,2,3,2,3,2,3,1,1,1,2,3,3,2,3,2,2,1,1,1,1,2,2,1,2,1,1,3,3,3,3,2,1,3,3,3,4,3,3,2,2,3,2,3,3,1,2,1,1,1,1,1,2,2,4,2,3,4,4,3,3,4,4,2,3,3,2,3,4,3,4,4,3,3,4,1,2,1,1,1,1,3,3,2,3,2,2,1,1,1,1,1,1,1,2,1,1,1,1,3,3,2,3,3,3,2,2,2,4,2,4,1,3,1,1,1,1,1,1,1,1,1,2,2,2,1,3,1,1,4,4,3,3,3,4,1,2,1,1,1,1,2,2,3,2,3,3,1,2,3,2,2,3,4,3,4,3,3,4,3,3,4,4,3,4,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,3,2,1,3,3,2,3,2,2,1,3,1,3,1,1,4,4,4,4,3,4,2,3,3,2,4,4,2,3,1,1,1,1,514
female ,23,2,4,4,3,2,1,4,3,2,4,4,5,4,5,2,2,5,3,2,3,2,4,4,1,3,4,4,1,3,4,5,4,1,1,2,2,4,3,4,4,5,5,5,4,5,3,1,1,1,2,1,1,1,1,1,2,1,2,2,2,2,4,2,2,4,4,4,3,4,5,3,4,4,4,3,4,1,1,1,2,1,1,2,2,2,4,1,2,3,4,2,4,2,2,1,1,1,2,1,1,1,1,1,2,1,1,3,2,2,4,2,2,3,4,3,4,3,5,4,4,2,2,4,2,2,2,2,4,2,2,4,4,4,4,3,4,4,4,4,3,3,5,5,5,4,4,4,5,2,4,2,4,1,2,1,1,1,2,1,1,2,3,2,4,2,2,4,5,4,4,4,3,2,4,2,4,2,3,2,2,2,4,2,2,5,5,4,4,4,2,4,5,3,4,3,5,1,1,1,1,1,1,2,2,2,4,2,3,4,5,3,4,3,2,5,5,4,4,4,5,4,4,4,4,4,5,2,2,2,4,2,3,2,2,2,4,2,2,3,4,2,4,3,3,3,4,2,4,2,3,1,2,1,3,1,1,1,1,1,2,1,1,2,1,1,4,1,1,2,3,2,4,2,2,4,5,4,4,3,5,5,5,4,3,4,3,658
Male,24,2,4,4,4,3,2,4,2,2,3,4,3,2,4,1,1,5,3,2,3,3,3,5,2,2,5,3,2,2,4,4,4,1,2,2,2,4,3,4,4,5,5,5,5,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,720
Male,24,2,4,4,3,3,2,4,1,1,4,3,4,4,4,2,2,4,2,2,3,3,4,5,1,3,5,3,2,3,3,4,4,1,2,3,2,4,2,3,4,5,5,5,5,5,3,4,2,1,3,2,2,2,4,1,2,1,1,3,2,4,2,1,2,4,4,3,1,4,5,2,2,1,4,1,4,2,4,4,4,2,1,4,4,4,2,4,5,2,1,1,4,1,1,2,1,1,4,1,1,4,4,2,4,2,1,4,4,2,2,3,3,4,4,4,4,2,2,5,5,2,2,3,3,2,2,4,4,1,1,4,4,3,3,4,2,5,4,4,3,3,5,2,2,1,2,1,1,5,4,3,5,4,1,1,1,1,1,1,1,4,4,1,2,1,1,5,5,4,3,2,4,4,4,2,2,2,1,2,2,1,4,1,1,4,4,2,4,1,1,1,1,1,1,1,1,2,2,1,4,1,1,4,3,2,3,1,2,4,3,3,4,1,2,4,4,4,4,3,4,5,5,5,5,4,3,1,1,1,1,1,1,4,3,3,2,2,4,5,5,5,5,5,5,1,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,1,1,2,2,1,2,1,1,4,2,2,2,1,1,4,3,4,3,3,4,4,4,4,4,2,4,624
Female ,30,1,2,3,1,2,1,4,1,1,1,1,4,1,2,1,1,4,1,1,1,1,2,3,1,1,3,1,1,1,2,2,2,1,1,1,1,1,2,3,3,5,5,5,5,5,1,1,1,5,4,1,1,4,2,2,4,1,1,3,4,4,2,3,5,1,1,1,1,1,1,4,4,4,3,3,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,3,3,2,1,1,4,4,2,5,2,1,1,1,1,1,1,4,5,5,4,4,4,4,1,4,2,2,1,1,1,1,1,4,1,4,1,2,1,2,3,3,4,1,2,2,1,5,3,3,3,3,1,3,1,4,2,5,5,1,1,4,2,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,3,4,2,3,4,1,4,1,1,1,5,1,1,4,4,4,2,1,5,1,1,1,5,1,2,1,1,1,1,1,4,4,2,1,4,1,1,1,5,3,3,1,4,5,5,5,3,2,5,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,3,3,1,4,1,1,2,2,1,4,1,1,2,2,2,2,1,4,5,5,5,3,4,5,1,1,1,1,1,1,527
